,id,host_phylum,host_class,host_order,host_family,host_genus,host_species,site,area,reef_bay,collection_latitude,collection_longitude,collection_date,collection_year,collection_month,collection_depth,site_zone,number,no_sp,no_sp_lo,full_sample_id,m_y,m_y_s_z,sample_full,dominant_type
77,G2,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,42,42_siderea,42_siderea_SM_reef,42SSSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_G2_November_2021,C3
78,G3,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,63,63_siderea,63_siderea_SM_reef,63SSSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_G3_November_2021,C1
79,G4,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,64,64_siderea,64_siderea_SM_reef,64SSSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_G4_November_2021,C3
80,G5,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,72,72_siderea,72_siderea_SM_reef,72SSSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_G5_November_2021,C3
81,G6,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,75,75_radians,75_radians_SW_bay,75SRSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_G6_November_2021,C46
82,G7,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,80,80_radians,80_radians_SW_bay,80SRSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_G7_November_2021,C46
83,G8,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,84,84_radians,84_radians_SW_bay,84SRSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_G8_November_2021,C46
84,G9,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,98,98_radians,98_radians_SW_bay,98SRSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_G9_November_2021,C46
85,H1,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,95,95_radians,95_radians_SM_bay,95SRSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_H1_November_2021,C46
86,H10,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,47,47_porites,47_porites_SM_reef,47PPSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_H10_November_2021,C42
